keys,zh,en,ja
UPGRADE_FIRE_CONTROL_SATURATION_NAME,火控饱和,Fire-Control Saturation,火器管制飽和
UPGRADE_FIRE_CONTROL_SATURATION_DESC,当前王牌同时满锁至少 5 个目标时获得超载 6 秒；超载期间锁定目标数 +2（内置冷却 20 秒，需先回落到 5 锁以下）,When the current ace fully locks at least 5 targets at once gain 6s Overload; target locks +2 while Overloaded (20s internal cooldown; must first drop below 5 locks),現在のエースが同時に5目標以上を完全ロックすると6秒間オーバーロード；オーバーロード中はロック対象数+2（内部クールダウン20秒・再発動には一度5未満へ低下が必要）
UPGRADE_GUN_DAMAGE_NAME,穿甲弹药,AP Rounds,徹甲弾
UPGRADE_GUN_DAMAGE_DESC,机炮伤害 +30%（每层）,Gun damage +30% per stack,機関砲ダメージ+30%/層
UPGRADE_GUN_MULTISHOT_NAME,机炮吊舱,Gun Pods,ガンポッド
UPGRADE_GUN_MULTISHOT_DESC,翼下挂载两具机炮吊舱，双道弹幕向前齐射,Two wing-mounted gun pods fire twin forward streams,翼下ガンポッド2基が前方へ二条の弾幕を斉射
UPGRADE_GUN_AMMO_NAME,弹药扩容,Ammo Capacity,弾薬増設
UPGRADE_GUN_AMMO_DESC,机炮弹药上限 +100,Gun ammo cap +100,ガン弾薬上限 +100
UPGRADE_GUN_RELOAD_NAME,快速装弹机,Quick Loader,高速装弾
UPGRADE_GUN_RELOAD_DESC,机炮装填时间 -15%,Gun reload -15%,ガン装填 -15%
UPGRADE_GUN_FIRERATE_NAME,射速强化,Fire Rate Boost,連射速度強化
UPGRADE_GUN_FIRERATE_DESC,机炮射速 +25%,Gun fire rate +25%,ガン連射速度 +25%
UPGRADE_GUN_RANGE_NAME,延伸弹道,Extended Range,射程延長
UPGRADE_GUN_RANGE_DESC,机炮有效射程 +20%,Gun effective range +20%,ガン有効射程 +20%
UPGRADE_GUN_CIWS_NAME,近防炮,CIWS,CIWS
UPGRADE_GUN_CIWS_DESC,机炮自动拦截正面来袭导弹,Gun auto-intercepts incoming frontal missiles,正面来襲ミサイルをガンで自動迎撃
UPGRADE_FEAR_SQUAD_SPREAD_NAME,惊鸿扩散,Panic Spread,恐慌伝播
UPGRADE_FEAR_SQUAD_SPREAD_DESC,亲自击杀任何敌机时，其所在小队全员陷入恐惧 5 秒,Personal kills terrify the victim's entire squad for 5s,自ら撃墜した敵の所属小隊全機が5秒間恐怖
UPGRADE_FEAR_CHILLS_NAME,寒颤,Chills,凍えの戦慄
UPGRADE_FEAR_CHILLS_DESC,你施加的所有恐惧同时附带减速效果,All fear you inflict also slows the target,自分が付与する恐怖に減速効果が追加
UPGRADE_RADAR_RANGE_NAME,雷达升级,Radar Upgrade,レーダー強化
UPGRADE_RADAR_RANGE_DESC,雷达探测距离 +20%,Radar range +20%,レーダー探知距離 +20%
UPGRADE_LOCK_TIME_NAME,火控优化,Fire Control,火器管制最適化
UPGRADE_LOCK_TIME_DESC,锁定时间 -0.5秒,Lock time -0.5s,ロック時間 -0.5秒
UPGRADE_DOGFIGHT_NAME,格斗大师,Dogfight Master,格闘戦の達人
UPGRADE_DOGFIGHT_DESC,失速速度 -12%、减速 +30%、急转掉速 -15%（每层）,Stall speed -12%; deceleration +30%; high-G speed loss -15% per stack,失速速度-12%・減速+30%・高G旋回の速度損失-15%/層
UPGRADE_COBRA_SKILL_NAME,眼镜蛇机动,Cobra Maneuver,コブラ機動
UPGRADE_COBRA_SKILL_DESC,当前操控机按 R 手动释放眼镜蛇；AI 僚机受威胁时自动释放；占用唯一主动机动槽,Press R to trigger a Cobra in the controlled jet; AI wingmen auto-trigger when threatened; occupies the single active-maneuver slot,操作中の機体はRでコブラを手動発動；AI僚機は被脅威時に自動発動；アクティブ機動枠を占有
UPGRADE_RAILGUN_CHARGE_NAME,电磁炮加速,Railgun Capacitor,電磁砲チャージ
UPGRADE_RAILGUN_CHARGE_DESC,充能时间 -30%（每层）,Charge time -30% per stack,チャージ時間-30%/層
UPGRADE_RAILGUN_RANGE_NAME,电磁炮射程,Railgun Range,電磁砲射程
UPGRADE_RAILGUN_RANGE_DESC,最大射程 +1500m（每层）,Max range +1500m per stack,最大射程+1500m/層
UPGRADE_RAILGUN_DAMAGE_NAME,电磁炮强化,Railgun Damage,電磁砲ダメージ
UPGRADE_RAILGUN_DAMAGE_DESC,伤害 +25%,Damage +25%,ダメージ +25%
UPGRADE_LASER_COOLDOWN_NAME,激光散热,Laser Cooling,レーザー冷却
UPGRADE_LASER_COOLDOWN_DESC,散热效率 +40%（每层）,Heat dissipation +40% per stack,放熱効率+40%/層
UPGRADE_LASER_RANGE_NAME,激光增距,Laser Range,レーザー射程
UPGRADE_LASER_RANGE_DESC,最大射程 +20%,Max range +20%,最大射程 +20%
UPGRADE_LASER_HEAT_NAME,激光过载,Laser Capacity,レーザー過熱閾値
UPGRADE_LASER_HEAT_DESC,过热阈值 +50%,Overheat threshold +50%,オーバーヒートしきい値+50%
UPGRADE_DATA_LINK_NAME,数据链,Data Link,データリンク
UPGRADE_DATA_LINK_DESC,队友锁定共享给玩家，反之亦然；僚机雷达范围 +20%,Locks shared across the squad; wingman radar range +20%,ロックを全隊で共有・僚機レーダー範囲+20%
UPGRADE_SKILL_KILL_BLOODLUST_NAME,猎杀本能,Kill Bloodlust,殺戮本能
UPGRADE_SKILL_KILL_BLOODLUST_DESC,击杀进入嗜血状态 9s,Kills trigger 9s Bloodlust,撃墜で血の渇望9秒
UPGRADE_SKILL_DAMAGED_BLOODLUST_NAME,反击本能,Wounded Bloodlust,反撃本能
UPGRADE_SKILL_DAMAGED_BLOODLUST_DESC,受伤进入嗜血状态 9s（被打刷新）,Taking damage triggers 9s Bloodlust (refreshes on hit),被弾で血の渇望9秒（被弾で更新）
UPGRADE_SKILL_HEAD_ON_PERMA_HP_NAME,骑士心脏,Knight's Heart,騎士の心臓
UPGRADE_SKILL_HEAD_ON_PERMA_HP_DESC,对头击杀 +5 最大 HP（局内永久）,Head-on kill: +5 max HP (run-permanent),正面撃墜で 最大HP+5 (永久)
UPGRADE_SKILL_HEAD_ON_AOE_FEAR_NAME,寒颤号令,Battle Cry,戦慄の咆哮
UPGRADE_SKILL_HEAD_ON_AOE_FEAR_DESC,对头击杀使 2km 内敌方陷入恐惧 6 秒,Head-on kills terrify enemies within 2km for 6s,正面撃墜で2km内の敵が6秒間恐怖
UPGRADE_SKILL_MISSILE_HIT_INVUL_NAME,危机绝境,Last Stand,危機絶境
UPGRADE_SKILL_MISSILE_HIT_INVUL_DESC,被导弹命中后 8s 无敌（无敌期间不刷新）,8s Invincibility on missile hit (no refresh),被弾後8秒無敵（更新なし）
UPGRADE_SKILL_LOWEST_ALT_KILL_INVUL_NAME,空中战车,Sky Chariot,空中戦車
UPGRADE_SKILL_LOWEST_ALT_KILL_INVUL_DESC,在低空击杀敌人后无敌 8 秒,Killing an enemy at low altitude grants 8s invulnerability,低空で敵を撃墜すると8秒間無敵
UPGRADE_SKILL_GUN_KILL_FEAR_NAME,机炮震慑,Gun Strike Terror,機関砲威圧
UPGRADE_SKILL_GUN_KILL_FEAR_DESC,机炮击杀使目标周围 2.4km 内敌方恐惧 5 秒,Gun kills inflict 5s Fear on enemies within 2.4km of the target,機関砲撃墜で目標の周囲2.4kmの敵に5秒恐怖
RARITY_STABLE,稳定,Stable,安定
RARITY_ADVANCED,先进,Advanced,先進
RARITY_EXPERIMENTAL,实验,Experimental,実験
RARITY_CLASSIFIED,机密,Classified,機密
RARITY_NEXT_GEN,跨代,Next-Gen,次世代
UPGRADE_EVASION_SPEED_BOOST_NAME,超频加力,Overdrive Burner,オーバードライブAB
UPGRADE_EVASION_SPEED_BOOST_DESC,加力模式顶速 +40%,Afterburner mode top speed +40%,ABモード最高速+40%
UPGRADE_EVASION_WEAPON_CD_NAME,蓄势狂暴,Primed Frenzy,チャージフレンジー
UPGRADE_EVASION_WEAPON_CD_DESC,加力模式中武器冷却流逝 ×2,Weapon cooldowns tick 2× during Afterburner,ABモード中武器CD進行2倍
UPGRADE_SKILL_KILL_STATUS_HEAL_NAME,虐弱,Prey on Weakness,弱者狩り
UPGRADE_SKILL_KILL_STATUS_HEAL_DESC,击杀有异常状态的敌人后回 30 HP,Killing afflicted enemies restores 30 HP,異常敵を撃墜で30HP回復
UPGRADE_SKILL_FLARE_AOE_JAM_NAME,扰乱投弹,Flare Static,フレア妨害
UPGRADE_SKILL_FLARE_AOE_JAM_DESC,释放热诱弹后使周围 1.2km 内敌方干扰 3 秒,Releasing flares jams enemies within 1.2km for 3s,フレア使用で周囲1.2kmの敵を3秒ジャミング
UPGRADE_SKILL_GUN_KILL_FLARE_DROP_NAME,机炮余烬,Gun Embers,機関砲の残光
UPGRADE_SKILL_GUN_KILL_FLARE_DROP_DESC,机炮击杀产生 flare 区域，干扰附近导弹,Gun kills drop a JAM zone deflecting nearby missiles,機関砲撃墜で妨害域を生成
UPGRADE_SKILL_MISSILE_HIT_AOE_JAM_NAME,寒蝉效应,Hit-and-Hush,被弾静寂
UPGRADE_SKILL_MISSILE_HIT_AOE_JAM_DESC,被导弹命中后 2km 内敌方被干扰 5 秒,When hit by a missile enemies within 2km are jammed for 5s,被弾時2km内の敵を5秒間ジャミング
UPGRADE_SKILL_EVADE_MISSILE_OVERLOAD_NAME,死里逃生,Cheating Death,死中求活
UPGRADE_SKILL_EVADE_MISSILE_OVERLOAD_DESC,成功躲掉一发导弹后获得超载 8s,Evading a missile grants Overload 8s,ミサイル回避でオーバーロード8秒
UPGRADE_LOCK_PANIC_G_NAME,被锁狂飙,Locked-On Panic,ロック狂躁
UPGRADE_LOCK_PANIC_G_DESC,被敌方锁定时 max G ×1.20（每层）,Max G ×1.20 while locked (per stack),ロック中max G×1.20
UPGRADE_LOW_HP_FLARE_RELOAD_NAME,绝境装填,Last-Stand Reload,絶境装填
UPGRADE_LOW_HP_FLARE_RELOAD_DESC,HP < 50% 时热诱弹装填速度翻倍,Flare reload ×2 below 50% HP,HP<50%でフレア装填×2
UPGRADE_HIGH_ALT_LOCK_SPEED_NAME,平流层雷达,Stratosphere Radar,成層圏レーダー
UPGRADE_HIGH_ALT_LOCK_SPEED_DESC,在最高度档锁定速率 +30%,Lock speed +30% at HIGH altitude,最高度ロック速度+30%
UPGRADE_CLOSE_RANGE_LOCK_NAME,近距捕获,Close-Range Acquisition,近距離捕捉
UPGRADE_CLOSE_RANGE_LOCK_DESC,距离目标越近主雷达锁定越快：雷达边缘 ×1 / 半程 ×1.5 / 贴身最高 ×2,Primary radar locks faster at close range: ×1 at radar edge / ×1.5 at half range / up to ×2 point-blank,対象に近いほど主レーダーのロックが加速：レーダー端×1・半距離×1.5・至近距離で最大×2
UPGRADE_AB_GUN_REGEN_NAME,加力供弹,Burner Feeder,アフターバーナー給弾
UPGRADE_AB_GUN_REGEN_DESC,加力时机炮弹药每秒回复 25 发,AB regenerates 25 gun rounds/s,AB中機関砲弾25発/秒回復
UPGRADE_ALTITUDE_ENERGY_CYCLE_NAME,高度能量循环,Altitude Energy Cycle,高度エネルギー循環
UPGRADE_ALTITUDE_ENERGY_CYCLE_DESC,DIVE 时机炮每秒回复 25 发并可超储至 2 倍；CLIMB 时共享加力每秒回复 0.2,DIVE regenerates 25 gun rounds/s up to 2× capacity; CLIMB restores shared afterburner by 0.2/s,DIVE中は機関砲弾を毎秒25発・最大2倍まで補充；CLIMB中は共有アフターバーナーを毎秒0.2回復
ALTITUDE_ACTION_CLIMB,爬升,CLIMB,上昇
ALTITUDE_ACTION_DIVE,俯冲,DIVE,降下
STATUS_GUN_TAILED,机炮咬尾,GUN TAILED,機関砲に追尾中
UPGRADE_ALT_CHANGE_STEALTH_NAME,垂直机动隐身,Vertical Slip,垂直機動ステルス
UPGRADE_ALT_CHANGE_STEALTH_DESC,高度变化时更难被敌方雷达锁定,Harder to lock when changing altitude,高度変化中ロック耐性
UPGRADE_HEAD_ON_GUN_DODGE_NAME,正面回旋,Head-On Slip,正面スリップ
UPGRADE_HEAD_ON_GUN_DODGE_DESC,对头交锋时机炮闪避 +60%,Gun dodge +60% in head-on encounters,正面交戦時 機関砲回避+60%
UPGRADE_GUN_FIRE_DR_NAME,火力护盾,Suppression Shield,制圧シールド
UPGRADE_GUN_FIRE_DR_DESC,机炮发射后 0.5s 内受到伤害 -50%,-50% damage taken for 0.5s after firing guns,発砲後0.5秒間の被ダメージ-50%
UPGRADE_FEAR_ON_LOCK_NAME,凝视压迫,Lock Stare,ロック圧迫
UPGRADE_FEAR_ON_LOCK_DESC,持续锁定敌人 4 秒后使其恐惧 6 秒；恐惧消退后可重新累积,Lock an enemy continuously for 4s to inflict 6s Fear; buildup restarts after Fear expires,敵を4秒連続ロックすると6秒恐怖・解除後に再蓄積可能
UPGRADE_CLOUD_OVERLOAD_NAME,云中超载,Cloud Surge,雲中サージ
UPGRADE_CLOUD_OVERLOAD_DESC,在云中获得超载状态,Overload while in clouds,雲中でオーバーロード
UPGRADE_CLOUD_WEAPON_CD_NAME,云隙快攻,Cloud Cover Tempo,雲中速攻
UPGRADE_CLOUD_WEAPON_CD_DESC,云中所有武器 cd ×0.5,All weapon cooldowns ×0.5 in clouds,雲中武器CD×0.5
UPGRADE_EVASION_STEALTH_NAME,雾隐机动,Phantom Veil,霧隠機動
UPGRADE_EVASION_STEALTH_DESC,加力持续 2 秒后进入隐身，直至加力结束,Enter stealth after 2s of continuous Afterburner; lasts until Afterburner ends,ABを2秒継続するとステルス化しAB終了まで持続
UPGRADE_EVASION_HERBST_NAME,危机赫尔贝特,Crisis J-Turn,危機Jターン
UPGRADE_EVASION_HERBST_DESC,当前操控机按 R 手动释放 J-Turn；AI 僚机受威胁时自动释放；占用唯一主动机动槽,Press R to trigger a J-Turn in the controlled jet; AI wingmen auto-trigger when threatened; occupies the single active-maneuver slot,操作中の機体はRでJターンを手動発動；AI僚機は被脅威時に自動発動；アクティブ機動枠を占有
UPGRADE_EVASION_OVERSTOCK_NAME,弹仓过载,Overstock Bay,弾倉オーバーロード
UPGRADE_EVASION_OVERSTOCK_DESC,加力模式中每 4s 装填 1 发导弹（突破上限至 2 倍）,Afterburner mode reloads +1 missile per 4s up to 2× cap,ABモード4秒毎ミサイル+1（上限2倍）
UPGRADE_OVERLOAD_DURATION_4X_NAME,过载共振,Surge Resonance,オーバーロード共鳴
UPGRADE_OVERLOAD_DURATION_4X_DESC,超载持续时间 ×2,Overload duration ×2,オーバーロード持続×2
UPGRADE_MISSILE_CD_STEALTH_NAME,弹后潜匿,Silent Reload,弾後潜匿
UPGRADE_MISSILE_CD_STEALTH_DESC,弹药打空后获得 4 秒隐身,Gain 4s stealth when missiles run dry,ミサイル切れで4秒ステルス
UPGRADE_SKILL_FLARE_OVERLOAD_NAME,焰诱共振,Flare Surge,フレア共鳴
UPGRADE_SKILL_FLARE_OVERLOAD_DESC,释放热诱弹后获得超载 8s,Releasing flare grants Overload 8s,フレア発射でオーバーロード8秒
UPGRADE_OVERLOAD_EXTENDED_AMMO_NAME,燃尽自如,Limitless Burn,燃え尽きの自在
UPGRADE_OVERLOAD_EXTENDED_AMMO_DESC,超载持续时间 +6s；超载期间发射不消耗弹药,Overload duration +6s; firing during Overload costs no ammo,オーバーロード+6秒；中は弾消費なし
UPGRADE_OVERLOAD_TO_BLOODLUST_NAME,噬血共振,Crimson Surge,噬血共鳴
UPGRADE_OVERLOAD_TO_BLOODLUST_DESC,超载期间同时获得嗜血；击杀刷新两者持续时间,Overload also grants Bloodlust; kills refresh both,オーバーロード中ブラッドラスト付与；撃墜で両方リフレッシュ
UPGRADE_BLOODLUST_ARMOR_MOBILITY_NAME,血怒护甲,Frenzy Plate,血怒装甲
UPGRADE_BLOODLUST_ARMOR_MOBILITY_DESC,嗜血期间减伤 30%；最大 G ×1.2；加 / 减速 ×1.3,Bloodlust: -30% damage; max G ×1.2; accel/decel ×1.3,ブラッドラスト中-30%被ダメ；最大G×1.2；加減速×1.3
UPGRADE_FULL_HP_KILL_PERMA_HP_NAME,血誓不竭,Vital Vow,血誓不渇
UPGRADE_FULL_HP_KILL_PERMA_HP_DESC,嗜血期间击杀敌人永久 +8 最大生命,Kills during Bloodlust permanently grant +8 max HP,血の渇望中の撃墜で最大HP+8（恒久）
UPGRADE_HEAD_ON_JAM_NAME,对锋干扰,Head-On Jammer,対峙妨害
UPGRADE_HEAD_ON_JAM_DESC,对头目标累积 3s 后被电子干扰 5s,Head-on targets are jammed for 5s after 3s exposure,正対する敵に3秒蓄積で5秒ジャミング
UPGRADE_JAM_SELF_OVERLOAD_NAME,共振反馈,Jamming Surge,共鳴フィードバック
UPGRADE_JAM_SELF_OVERLOAD_DESC,JAM 命中至少 1 个敌人时获得超载 8s,Landing JAM on ≥1 enemy grants Overload 8s,JAM命中で8秒オーバーロード
UPGRADE_REAR_AURA_SLOW_NAME,后半球减速光环,Tailspike Aura,後方減速オーラ
UPGRADE_REAR_AURA_SLOW_DESC,后半球 2.4km 内敌人停留 8s 后被施加减速（消退后重新累积）,Enemies in your 2.4km rear arc accumulate to Slow (resets after expires),後方2.4km内に8秒滞在で減速（解除後再蓄積）
UPGRADE_F14_SQUAD_LOCK_SLOW_NAME,围猎,Pack Hunt,囲い狩り
UPGRADE_F14_SQUAD_LOCK_SLOW_DESC,全体僚机共同锁定的敌机持续受到减速,Enemies locked by the whole pack are continuously slowed,全僚機が共同ロックした敵機は継続的に減速
UPGRADE_LOW_ALT_GUN_DODGE_NAME,地表狂奔,Hedgehopper,低空疾走
UPGRADE_LOW_ALT_GUN_DODGE_DESC,在低空时机炮闪避 +50%,Gun dodge +50% at low altitude,低空時 機関砲回避+50%
UPGRADE_JAM_AURA_NAME,全向干扰场,Omni-Jam Field,全方位妨害フィールド
UPGRADE_JAM_AURA_DESC,周围 3km 内敌人停留 8s 后被干扰 5 秒（消退后重新累积）,Enemies staying 8s within 3km get jammed for 5s (re-accumulates),3km内に8秒留まった敵を5秒ジャミング（消滅後再蓄積）
UPGRADE_GUNSHIP_MODE_NAME,炮艇模式,Gunship Mode,ガンシップモード
UPGRADE_GUNSHIP_MODE_DESC,全队机炮改为 360° 自动射击，自动扫描敌机与地面单位并显示完整射程圈；最大速度 -40%,Squad guns gain 360° automatic fire against aircraft and ground units plus a full range ring; max speed -40%,全隊の機関砲が航空機・地上ユニットを360°自動射撃し射程円を表示；最高速度-40%
UPGRADE_HEAVY_GUN_NAME,重型机炮,Heavy Cannon,重機関砲
UPGRADE_HEAVY_GUN_DESC,全队机炮射程 +1000m,Squad gun range +1000m,全隊の機関砲射程+1000m
UPGRADE_BERSERK_VIRUS_NAME,狂化病毒,BERSERK VIRUS,狂化ウイルス
UPGRADE_BERSERK_VIRUS_DESC,"僚机无法手动接管并永远自由交战，但仍服从其它命令。僚机最大G、滚转、加减速×1.25，武器CD恢复×1.40，热诱弹CD与装填恢复×1.50；击杀后进入9秒嗜血。","Wingmen cannot be manually controlled and are permanently set to Free Engage, but still obey other orders. Wingman max G, roll and accel/decel ×1.25; weapon cooldown recovery ×1.40; flare cooldown and reload recovery ×1.50; kills grant 9s Bloodlust.","僚機は手動操作へ切替不能で常時自由交戦。ただし他の命令には従う。最大G・ロール・加減速×1.25、武器CD回復×1.40、フレアCDと再装填回復×1.50。撃破後9秒間ブラッドラスト。"
UPGRADE_HUNTER_NAME,猎手,Hunter,ハンター
UPGRADE_HUNTER_DESC,全队执行突击命令时：+2G、加减速 ×1.2、G 能量损失 ×0.7、受到伤害 ×0.7；目标结束即失效,"During Assault orders: squad +2G, accel/decel ×1.2, G-energy loss ×0.7, damage taken ×0.7; ends with the target",全隊が突撃命令中：+2G・加減速×1.2・G損失×0.7・被ダメージ×0.7；目標終了で解除
